pipeline,position,n,recall_at_1,mrr,em,f1
baseline,early,60,1.0,1.0,0.18333333333333332,0.15386571207131544
baseline,middle,60,0.0,0.3333333333333332,0.13333333333333333,0.21339077065954629
baseline,end,60,0.0,0.19999999999999993,0.18333333333333332,0.2075376741106598
lexical,early,60,0.35,0.586388888888889,0.16666666666666666,0.22032835710960805
lexical,middle,60,0.35,0.5822222222222223,0.18333333333333332,0.21483588373922774
lexical,end,60,0.35,0.576388888888889,0.18333333333333332,0.21152669830794926
tis,early,60,0.21666666666666667,0.4644444444444444,0.21666666666666667,0.202193348250124
tis,middle,60,0.21666666666666667,0.4644444444444444,0.21666666666666667,0.202193348250124
tis,end,60,0.21666666666666667,0.4644444444444444,0.21666666666666667,0.202193348250124
oracle,early,60,1.0,1.0,0.18333333333333332,0.15386571207131544
oracle,middle,60,1.0,1.0,0.18333333333333332,0.15386571207131544
oracle,end,60,1.0,1.0,0.18333333333333332,0.15386571207131544
