base_id,query_id,position_name,original_gold_position,tis_gold_rank,recall_at_1,baseline_correct,tis_correct,transition,baseline_prediction,tis_prediction,answer
0,638438,early,0,2,0,0,0,same_wrong,"Ring-shaped, discoloured plaques",Ring-shaped or annular plaques,A ring of small red or skin-coloured bumps
0,638438,middle,2,2,0,0,0,same_wrong,Ring-shaped or annular plaques,Ring-shaped or annular plaques,A ring of small red or skin-coloured bumps
0,638438,end,4,2,0,0,0,same_wrong,Ring-shaped or annular plaques,Ring-shaped or annular plaques,A ring of small red or skin-coloured bumps
1,414563,early,0,1,0,0,0,same_wrong,"No, not all fish (e.g., tuna, swordfish, wild salmon). Safe options: farmed salmon, tilap","Passage 2: Yes, salmon
Passage 3: Yes, salmon
Passage 5: Depends on the source","Yes, it safe to eat salmon every day."
1,414563,middle,2,1,0,0,0,same_wrong,"Salmon, tilapia, rainbow trout (Passage 4)","Passage 2: Yes, salmon
Passage 3: Yes, salmon
Passage 5: Depends on the source","Yes, it safe to eat salmon every day."
1,414563,end,4,1,0,0,0,same_wrong,Salmon (yes),"Passage 2: Yes, salmon
Passage 3: Yes, salmon
Passage 5: Depends on the source","Yes, it safe to eat salmon every day."
2,389677,early,0,0,1,0,0,same_wrong,Early 2018,"First new-build, Asia Pacific (Passage 1, 2)
Expected to open in early 2018 (Passage",Hyatt Centric Ginza Tokyo will be the first new-build Hyatt Centric hotel in Asia Pacific and the second internationally.
2,389677,middle,2,0,1,0,0,same_wrong,"Asia Pacific, first new-build","First new-build, Asia Pacific (Passage 1, 2)
Expected to open in early 2018 (Passage",Hyatt Centric Ginza Tokyo will be the first new-build Hyatt Centric hotel in Asia Pacific and the second internationally.
2,389677,end,4,0,1,0,0,same_wrong,"First new-build in Asia Pacific, second internationally","First new-build, Asia Pacific (Passage 1, 2)
Expected to open in early 2018 (Passage",Hyatt Centric Ginza Tokyo will be the first new-build Hyatt Centric hotel in Asia Pacific and the second internationally.
3,486790,early,0,1,0,0,0,same_wrong,® Symbol Definition: Indicates a registered trademark,® symbol definition: A symbol indicating that a trademark is registered.,"A recognizable sign, design, or expression which identifies products or services of a particular source from those of others."
3,486790,middle,2,1,0,0,0,same_wrong,® Symbol (Registration Mark),® symbol definition: A symbol indicating that a trademark is registered.,"A recognizable sign, design, or expression which identifies products or services of a particular source from those of others."
3,486790,end,4,1,0,0,0,same_wrong,® Symbol Definition: Registered trademark,® symbol definition: A symbol indicating that a trademark is registered.,"A recognizable sign, design, or expression which identifies products or services of a particular source from those of others."
4,50251,early,0,3,0,0,0,same_wrong,"Boosts manufacturing sector, helps sell U.S. goods overseas, benefits European retailers, benefits U.S. manufacturers, exports advantage.","Export stimulus, manufacturing sector, overseas market prices, European retailers, terms of trade improvement.","The Benefits of a Weak Dollar Despite expressions to the contrary by politicos and economists, the nature of a weak dollar can actually benefit stagnated portions of our economy."
4,50251,middle,2,3,0,0,0,same_wrong,"Export stimulus, manufacturing sector, U.S. made goods, overseas markets, Asian products.","Export stimulus, manufacturing sector, overseas market prices, European retailers, terms of trade improvement.","The Benefits of a Weak Dollar Despite expressions to the contrary by politicos and economists, the nature of a weak dollar can actually benefit stagnated portions of our economy."
4,50251,end,4,3,0,0,0,same_wrong,"Export stimulus, manufacturing sector, overseas markets, Asian products","Export stimulus, manufacturing sector, overseas market prices, European retailers, terms of trade improvement.","The Benefits of a Weak Dollar Despite expressions to the contrary by politicos and economists, the nature of a weak dollar can actually benefit stagnated portions of our economy."
5,590061,early,0,1,0,0,0,same_wrong,"Hip dysplasia, osteochondritis dissecans, or femoro-acetabular impingement (FAI","Passage 3 suggests the cause of your hip pain is unknown, but it hurts on the back side of your left hip, worsens","1 Aseptic necrosis of bone. 2 Fracture, neck of femur. 3 Hip dysplasia, congenital. 4 Juvenile osteochondrosis of head of femur. 5 Multiple epiphyseal dysplasia. 6 Osteochondritis dissecans. 7 Slipped upper femoral epiphysis."
5,590061,middle,2,1,0,0,0,same_wrong,"Hip pain causes (from passages):
1. Muscle or bone issue (Passage 1)
2. Non-surg","Passage 3 suggests the cause of your hip pain is unknown, but it hurts on the back side of your left hip, worsens","1 Aseptic necrosis of bone. 2 Fracture, neck of femur. 3 Hip dysplasia, congenital. 4 Juvenile osteochondrosis of head of femur. 5 Multiple epiphyseal dysplasia. 6 Osteochondritis dissecans. 7 Slipped upper femoral epiphysis."
5,590061,end,4,1,0,0,0,same_wrong,Femoro-acetabular impingement (FAI),"Passage 3 suggests the cause of your hip pain is unknown, but it hurts on the back side of your left hip, worsens","1 Aseptic necrosis of bone. 2 Fracture, neck of femur. 3 Hip dysplasia, congenital. 4 Juvenile osteochondrosis of head of femur. 5 Multiple epiphyseal dysplasia. 6 Osteochondritis dissecans. 7 Slipped upper femoral epiphysis."
6,1184772,early,0,3,0,0,0,same_wrong,Expel from a country,Expel from a country,Deport is defined as to expel from a county.
6,1184772,middle,2,3,0,0,0,same_wrong,Expel from a country,Expel from a country,Deport is defined as to expel from a county.
6,1184772,end,4,3,0,0,0,same_wrong,Expel from a country,Expel from a country,Deport is defined as to expel from a county.
7,523785,early,0,0,1,0,0,same_wrong,"1. Change in form or appearance
2. Change in composition or structure
3. Change in character or condition
4. Change in an","1. Change in form or appearance
2. Change in composition or structure
3. Change in character or condition
4. Acquisition",It is a dramatic change in form or appearance.
7,523785,middle,2,0,1,0,0,same_wrong,"1. Change in composition or structure
2. Change in character or condition
3. Change in form
4. Acquisition of genetic","1. Change in form or appearance
2. Change in composition or structure
3. Change in character or condition
4. Acquisition",It is a dramatic change in form or appearance.
7,523785,end,4,0,1,0,0,same_wrong,"1. Change in composition or structure
2. Change in character or condition
3. Change in genetic material
4. Changes in cultured","1. Change in form or appearance
2. Change in composition or structure
3. Change in character or condition
4. Acquisition",It is a dramatic change in form or appearance.
8,741765,early,0,3,0,0,0,same_wrong,Horse bedding,Combining straw and wood shavings,It is the modular multifunctional furniture solution for sitting and sleeping.
8,741765,middle,2,3,0,0,0,same_wrong,"Combination of straw and wood shavings (Passage 1)

Modular multifunctional furniture (Passage 3)",Combining straw and wood shavings,It is the modular multifunctional furniture solution for sitting and sleeping.
8,741765,end,4,3,0,0,0,same_wrong,Horse bedding,Combining straw and wood shavings,It is the modular multifunctional furniture solution for sitting and sleeping.
9,285040,early,0,1,0,0,0,same_wrong,"5 (Passage 1), 5 (Passage 4)","5 (Passage 1), 1.75-2.25 (Passage 2), around 5 (Passage",3-ounce potato has about 1.75 to 2.25 grams of protein.
9,285040,middle,2,1,0,0,0,same_wrong,1.75-2.25 grams (Passage 3),"5 (Passage 1), 1.75-2.25 (Passage 2), around 5 (Passage",3-ounce potato has about 1.75 to 2.25 grams of protein.
9,285040,end,4,1,0,0,0,same_wrong,1.75 to 2.25 grams (depending on the type),"5 (Passage 1), 1.75-2.25 (Passage 2), around 5 (Passage",3-ounce potato has about 1.75 to 2.25 grams of protein.
10,449394,early,0,2,0,0,1,wrong_to_right,"Attainer, achiever",Successful,Successful
10,449394,middle,2,2,0,1,1,same_correct,Successful,Successful,Successful
10,449394,end,4,2,0,1,1,same_correct,Successful,Successful,Successful
11,471797,early,0,4,0,1,1,same_correct,Visceral,Visceral,Visceral peritoneum.
11,471797,middle,2,4,0,1,1,same_correct,Visceral,Visceral,Visceral peritoneum.
11,471797,end,4,4,0,1,1,same_correct,Visceral,Visceral,Visceral peritoneum.
12,698805,early,0,4,0,0,0,same_wrong,Salpingectomies are the surgical removal of one or both fallopian tubes.,Salpingectomies,Salpingectomy is the surgical removal of one or both fallopian tubes.
12,698805,middle,2,4,0,0,0,same_wrong,Salpingectomies are the surgical removal of one or both fallopian tubes.,Salpingectomies,Salpingectomy is the surgical removal of one or both fallopian tubes.
12,698805,end,4,4,0,0,0,same_wrong,Salpingectomies are the surgical removal of one or both fallopian tubes.,Salpingectomies,Salpingectomy is the surgical removal of one or both fallopian tubes.
13,451159,early,0,3,0,0,0,same_wrong,20% or more over ideal body weight,20% above ideal body weight or BMI > 30,"An abnormal accumulation of body fat, usually 20% or more over an individual's ideal body weight."
13,451159,middle,2,3,0,0,0,same_wrong,20% or more over ideal body weight,20% above ideal body weight or BMI > 30,"An abnormal accumulation of body fat, usually 20% or more over an individual's ideal body weight."
13,451159,end,4,3,0,0,0,same_wrong,20% or more over ideal body weight,20% above ideal body weight or BMI > 30,"An abnormal accumulation of body fat, usually 20% or more over an individual's ideal body weight."
14,60554,early,0,3,0,0,1,wrong_to_right,"10 (Passage 5) or 5 (Passage 3, assuming 5 pieces)",10 (from Passage 3) or 50 (from Passage 4),50
14,60554,middle,2,3,0,0,1,wrong_to_right,10 (Passage 5),10 (from Passage 3) or 50 (from Passage 4),50
14,60554,end,4,3,0,0,1,wrong_to_right,"10 (Passage 4) or 0 (Passage 1, 3, or 4)",10 (from Passage 3) or 50 (from Passage 4),50
15,1185869,early,0,2,0,0,0,same_wrong,Ended World War II,Ended World War II,The immediate impact of the success of the manhattan project was the only cloud hanging over the impressive achievement of the atomic researchers and engineers is what their success truly meant; hundreds of thousands of innocent lives obliterated.
